categrie,run_id,created_at,gpu_carbon_powermetrics_component,energy_impact_powermetrics_vm,cores_power_powermetrics_component,disk_total_byteswritten_powermetrics_vm,disk_total_bytesread_powermetrics_vm,embodied_carbon_share_machine,ane_energy_powermetrics_component,cpu_time_powermetrics_vm,phase_time_syscall_system,ane_power_powermetrics_component,gpu_power_powermetrics_component,cpu_utilization_mach_system,disk_io_bytesread_powermetrics_vm,cores_carbon_powermetrics_component,gpu_energy_powermetrics_component,ane_carbon_powermetrics_component,cores_energy_powermetrics_component
ytb-AdGuard-v2,f4646dae-a01b-4776-96c7-5db9a39a6995,2026-03-25 19:37:23.869624+01,28,4,322,0,262144,6082,15000,272019414,4238764,1,56,393,69559,233,303000,1,2508996
ytb-AdGuard-v2,5dc0f724-dfdc-4c90-9076-eff5f035966f,2026-03-25 19:37:46.185899+01,132,2860,8188,6226239488,1030303744,1855880,0,120323912320,1293415446,0,31,4279,15677820,38599,1414982,0,416033687
ytb-AdGuard-v2,af51b976-4826-49af-9ca0-5f61a7733122,2026-03-25 19:54:59.486947+01,25,3857,9974,6348431360,26931200,1868442,0,112262237009,1302168496,0,21,4035,3106111,34617,268993,0,373113714
ytb-AdGuard-v2,3f513936-f9f9-4d62-a5e9-e8a10da13ac3,2026-03-25 22:13:24.198521+01,125,3116,9663,6301237248,30724096,1856697,0,118857292872,1293984931,0,48,3845,2911010,37593,1358996,0,405186828
ytb-AdGuard-v2,ea590ded-93c4-41ac-ba4b-4bd073689b5e,2026-03-25 22:29:41.262687+01,68,3734,9369,6351896576,27480064,1856967,0,120818385040,1294173474,0,32,3920,2952930,36341,719987,0,391687643
ytb-AdGuard-v2,978b08c7-903b-4bb4-a6e6-67f5812ed391,2026-03-25 22:44:46.561129+01,41,3765,9650,6368641024,27017216,1848311,0,121528449416,1288140324,0,27,4052,3485115,39608,454989,0,426924754
ytb-AdGuard-v2,bf8e81d5-e150-41db-8b22-17950fdd0617,2026-03-25 23:00:22.432845+01,61,3108,9576,6349324288,29020160,1861747,30998,118702026337,1297503651,1,35,3971,3606244,37382,659983,3,402919628
ytb-AdGuard-v2,8e4e779f-215e-468a-8315-0807667731c1,2026-03-25 23:13:56.086424+01,38,2700,8343,5776592896,33718272,1858623,0,117354148878,1295325798,0,24,4103,3573812,36214,402989,0,390332725
ytb-AdGuard-v2,272c1d30-05d8-4512-a38a-67cf783fab89,2026-03-25 23:26:57.254348+01,77,5966,15516,5989781504,82857984,1888247,0,111037473012,1315973030,0,47,3650,6113791,34155,810976,0,368149666
ytb-AdGuard-v2,9ab874e1-f3fa-414f-89ef-aa4a3148bf74,2026-03-25 23:42:51.660006+01,50,3042,8641,5566058496,45486080,1849995,0,121589727328,1289314579,0,21,3902,3395093,37850,522980,0,407957842
ytb-AdGuard-v2,fdfe6592-51b0-411c-b299-bd24c16d0de9,2026-03-25 23:55:47.540007+01,40,3626,9239,6423613440,27475968,1851994,0,122335037376,1290707474,0,23,4345,2705187,39482,446980,0,425550726
ytb-AdGuard-v2,f4b28652-d47b-41d3-9fc0-4340a8987755,2026-03-26 00:09:24.149257+01,86,3282,10302,6055378944,24215552,1862985,0,119637712044,1298366047,0,38,4066,2997341,38046,917983,0,410072972
