categorie,run_id,created_at,energie_cpu_uj,energie_gpu_uj,duree_us
ytb-AdGuard,970646c8-4bac-4e86-9f5e-9d17f6db9818,2026-03-23 20:35:53.286104+01,547518500,743950,1583560766
ytb-AdGuard,ba4b90d6-b598-4d27-9416-b89bb1509592,2026-03-23 20:57:02.815503+01,482034561,778974,1564489355
ytb-AdGuard,5228bb5a-3d02-418e-9f4d-5c991af6af92,2026-03-23 22:01:30.667095+01,493876475,972965,1786347799
ytb-AdGuard,f8b7af79-d5d8-49e1-9bf4-aa8b0e7a631d,2026-03-23 22:26:38.958693+01,665133113,18635807,1815540245
ytb-AdGuard,7c54846b-0aac-4d28-9652-78313d9dc456,2026-03-23 23:24:32.041519+01,511603363,2295913,1724261290
ytb-AdGuard,aaa88976-669b-4857-aa64-47f72803f80d,2026-03-23 23:46:17.808324+01,688466316,19890802,1839815065
ytb-AdGuard,ab9cc0b0-90e2-4d6a-9408-01d28031fc56,2026-03-24 09:51:39.27303+01,513490256,9741839,1733181766
ytb-AdGuard,e041fc1b-f7eb-4331-9047-7cab70089e9d,2026-03-24 11:10:45.845788+01,957611563,1670891,1674513461
ytb-AdGuard,9fe64c90-3ca6-425f-a5c1-db2e80516ae6,2026-03-24 11:36:50.32637+01,1782851429,6648454,1722523719
ytb-AdGuard,37e5f5fe-7851-4ccc-85be-7925067744a4,2026-03-24 11:59:26.263436+01,664715511,1301918,1587607024
ytb-AdGuard,b2d1c304-a1d3-41f3-8700-2a646b5ff5df,2026-03-24 13:02:38.095834+01,44999,2999,491272
ytb-AdGuard,b9819198-af82-47b9-ba64-46463803abb7,2026-03-24 13:03:11.680871+01,648734396,1011948,1636372329
ytb-AdGuard,5b207657-9a5d-4e3a-9937-65184a65d4c7,2026-03-24 19:44:56.956649+01,631820754,1792971,1293691975
ytb-Ublock,7521c2cf-e052-49f5-9d5f-99d23f7b87c4,2026-03-24 20:04:51.477633+01,670789580,889966,1255106358
ytb-Ublock,17046604-36aa-4d7f-aae4-6059aa15f6ed,2026-03-24 20:29:05.274875+01,659334884,524971,1282806886
ytb-Ublock,e0435fea-4756-4242-87ab-3dd1859b7872,2026-03-24 20:46:45.012652+01,533264876,1367938,1287280810
ytb-Ublock,7d46367c-2ba3-4a1c-b5a5-e271624fc84c,2026-03-24 20:59:47.766264+01,506862777,574981,1286503815
ytb-Ublock,099cc3e5-33d4-4a40-aaf2-a1f141ac821e,2026-03-24 21:12:52.301505+01,619365740,727983,1288130040
ytb-Ublock,85229d72-ea33-4586-88e1-ee11b4a34bbe,2026-03-24 21:32:00.456359+01,506499839,567979,1285315824
ytb-Ublock,4c53a388-1130-4c49-97b0-27494a4d7646,2026-03-24 21:45:13.256801+01,509834640,577976,1287030690
ytb-Ublock,3f0f7dde-b2e3-4ab7-8f7b-6de154d96138,2026-03-24 21:58:12.041348+01,507553753,1108976,1304900128
ytb-Ublock,3dea5cf1-dcd8-43b7-b629-9e3b0fa19774,2026-03-24 22:11:32.796645+01,607299893,583977,1285519965
ytb-Ublock,841d343b-ce30-4e4b-8b5b-bbc811844899,2026-03-24 22:24:42.692597+01,650445926,742968,1292111215
ytb-Ublock,fe0c11d3-304e-488d-b53a-49951f41b46e,2026-03-24 22:45:46.678523+01,540786832,912963,1281143084
ytb-Ublock,bc8d8847-7434-4adb-9bba-60e56a53bf02,2026-03-24 23:12:08.438085+01,546881844,1254942,1280439616
ytb-Ublock,824ba387-8419-4b19-9eef-d4568924d5c5,2026-03-24 23:30:03.746579+01,504074883,738972,1288992261
ytb-Ublock,fb1094a4-fcd7-4dda-a963-ac62dddf582c,2026-03-25 08:24:00.941499+01,376716778,312986,1284087415
ytb-Ublock,bb7607a1-4f25-4431-b40d-354b672694d6,2026-03-25 09:05:01.532364+01,378416724,1369984,1283323687
ytb-Ublock,d732d776-6e4e-4ca1-bf86-c1c5e2664975,2026-03-25 10:03:18.162045+01,143532780,2466962,1418770579
