categrie,run_id,created_at,gpu_carbon_powermetrics_component,energy_impact_powermetrics_vm,cores_power_powermetrics_component,disk_total_byteswritten_powermetrics_vm,disk_total_bytesread_powermetrics_vm,embodied_carbon_share_machine,cpu_time_powermetrics_vm,phase_time_syscall_system,gpu_power_powermetrics_component,cpu_utilization_mach_system,disk_io_bytesread_powermetrics_vm,cores_carbon_powermetrics_component,gpu_energy_powermetrics_component,cores_energy_powermetrics_component
ytb-AdGuard-v2,5dc0f724-dfdc-4c90-9076-eff5f035966f,2026-03-25 19:37:46.185899+01,1,497,1231,74481664,20844544,781325,18286601857,544527465,0,293,709736,3344,6000,36042955
ytb-AdGuard-v2,af51b976-4826-49af-9ca0-5f61a7733122,2026-03-25 19:54:59.486947+01,1,648,1672,36061184,7036928,780205,13410746403,543746654,0,303,265962,3081,6000,33207960
ytb-AdGuard-v2,3f513936-f9f9-4d62-a5e9-e8a10da13ac3,2026-03-25 22:13:24.198521+01,0,464,1154,38780928,7213056,782527,18926669147,545365352,0,309,180288,3374,4999,36362003
ytb-AdGuard-v2,ea590ded-93c4-41ac-ba4b-4bd073689b5e,2026-03-25 22:29:41.262687+01,1,487,1215,39370752,8024064,781978,18651012484,544982749,0,333,270006,3426,6999,36922946
ytb-AdGuard-v2,978b08c7-903b-4bb4-a6e6-67f5812ed391,2026-03-25 22:44:46.561129+01,0,405,1022,48791552,7307264,781223,20787938353,544456542,0,318,152861,3411,5000,36769973
ytb-AdGuard-v2,bf8e81d5-e150-41db-8b22-17950fdd0617,2026-03-25 23:00:22.432845+01,0,535,1331,36143104,6909952,781254,16562151110,544477950,0,322,197276,3210,2000,34599965
ytb-AdGuard-v2,8e4e779f-215e-468a-8315-0807667731c1,2026-03-25 23:13:56.086424+01,7,519,1297,37322752,6897664,781475,17650489649,544631615,2,317,255232,3342,71999,36023984
ytb-AdGuard-v2,272c1d30-05d8-4512-a38a-67cf783fab89,2026-03-25 23:26:57.254348+01,7,2129,4891,26853376,9719808,781407,7952893995,544584538,11,302,1524631,2910,73000,31366968
ytb-AdGuard-v2,9ab874e1-f3fa-414f-89ef-aa4a3148bf74,2026-03-25 23:42:51.660006+01,2,434,1115,76267520,10178560,780942,20476173272,544260822,0,341,192628,3587,17998,38658023
ytb-AdGuard-v2,fdfe6592-51b0-411c-b299-bd24c16d0de9,2026-03-25 23:55:47.540007+01,0,444,1113,75431936,7057408,781025,19731095148,544318510,0,313,160064,3387,5000,36505994
ytb-AdGuard-v2,f4b28652-d47b-41d3-9fc0-4340a8987755,2026-03-26 00:09:24.149257+01,1,661,1620,38092800,7155712,780593,16695040904,544017192,0,277,311906,3433,8999,37000007
ytb-AdGuard-v2,60ae352c-4e22-4aca-95a9-6a98a859365a,2026-03-26 00:27:52.673019+01,0,0,0,0,0,780878,0,544216174,0,377,0,0,0,0
ytb-AdGuard-v2,15dd111f-1d5f-48a3-9c51-1b7c23dc7b16,2026-03-26 08:06:48.008668+01,0,829,1990,38223872,20824064,781702,13027421991,544790344,0,366,1278502,3117,4999,33592009
ytb-AdGuard-v2,e3689db5-a050-459c-b01f-ea73ee827b2b,2026-03-26 08:28:47.863394+01,0,738,1779,36978688,6942720,780809,13004125949,544167583,0,266,385059,2974,4000,32060011
ytb-Ublock-v2,097c4540-593c-4b96-a064-fe4e61a37fdb,2026-03-26 08:53:24.184992+01,2,289,798,74629120,7323648,781000,29045828128,544301164,0,398,121208,4274,16999,46063920
ytb-Ublock-v2,bd422a7f-cdd1-4211-b41a-338f11bc3b75,2026-03-26 09:07:16.397178+01,2,533,1377,39325696,15810560,780453,18727565393,543919723,0,528,564740,3670,18000,39558961
ytb-Ublock-v2,c9971ee5-d156-4dcd-8e54-0f812167e1fa,2026-03-26 09:32:36.113872+01,0,440,1100,47628288,7176192,925763,21933678894,645190147,0,994,201931,3673,3999,39589984
ytb-Ublock-v2,4db810db-6d3e-4313-93a2-b4a5aad03b2f,2026-03-26 10:27:53.294842+01,0,0,0,0,0,781649,0,544753356,0,338,0,0,0,0
ytb-Ublock-v2,8cfa437a-95fb-4d65-8324-bd53abb06077,2026-03-26 11:17:19.231082+01,0,0,0,0,0,781750,0,544823726,0,275,0,0,0,0
ytb-Ublock-v2,18e91dc3-4a0e-4626-993f-8d92ff4291a9,2026-03-26 11:33:34.23481+01,0,0,0,0,0,782989,0,545686876,0,270,0,0,0,0
ytb-Ublock-v2,095fb525-8819-4f0b-8d47-e1bd51a2df86,2026-03-26 11:49:24.663686+01,0,0,0,0,0,782027,0,545016931,0,325,0,0,0,0
ytb-Ublock-v2,6ad01d6d-81d8-41e5-995b-5072798ad166,2026-03-26 12:20:35.192159+01,0,0,0,0,0,781032,0,544323320,0,276,0,0,0,0
ytb-Ublock-v2,0749bccf-00f2-4860-ad7c-bf81b88feee3,2026-03-26 12:35:55.465105+01,0,0,0,0,0,781463,0,544623605,0,327,0,0,0,0
ytb-Ublock-v2,95b2e38d-3608-45bc-8e67-9451cc48146c,2026-03-26 12:52:24.017305+01,0,0,0,0,0,3656913,0,2548605751,0,1495,0,0,0,0
ytb-Ublock-v2,86c91c7f-ce43-42d9-a00a-8a401f32c87a,2026-03-26 19:07:40.659052+01,2,673,1638,39174144,7180288,780446,16537629861,543914569,1,289,321929,3481,18998,37525005
ytb-Ublock-v2,1e32f418-3bd6-47d2-a27d-13848a2ac43c,2026-03-26 19:28:11.209037+01,1,452,1131,79052800,7196672,782015,19893577025,545008320,0,259,162253,3354,6000,36148965
ytb-Ublock-v2,09b992fe-63e8-4101-92b0-923d23fe548f,2026-03-26 20:13:30.262887+01,1,459,1147,48021504,7245824,786520,19773530397,548147954,0,250,228125,3382,6000,36452003
ytb-Ublock-v2,82f98f4c-4d6d-4dc8-8d6d-42730e59b718,2026-03-26 20:34:57.688503+01,0,0,0,0,0,781565,0,544694331,0,260,0,0,0,0
ytb-Ublock-v2,114cf202-b8bf-4621-bc92-f8c516407066,2026-03-26 21:05:34.923555+01,0,455,1128,74760192,7262208,781028,20052712479,544320331,0,263,221438,3447,3000,37149992
ytb-AdBlockPlus-v2,b0b151fc-ed15-43fc-80dd-374ce0828668,2026-03-26 21:25:07.856108+01,2,269,714,83640320,7766016,781624,30169990632,544735716,0,239,131005,3943,16999,42502961
